ID;puntos;rebotes;asistencias;ultimo equipo
21;138.9;33.4;44.5;Cavaliers
22;116.7;27.8;19.5;Thunder
23;105,5;22.3;27.8;Warriors
24;77.8;36.1;16.7;Bucks
25;38.8;11.1;13.9;Mavericks
26;120;30;34.6;Rockets
27;66.6;27.7;12.2;Pelicans
28;83.3;23.8;15.5;Raptors
29;94.4;16.7;24.4;Trail Blazers
30;61.1;31.1;22.2;Nuggets
31;55.5;16.1;18.3;Celtics
32;77.8;20;13.8;Bulls
33;69.4;33.3;12.2;76ers
34;61.1;13.3;21.1;Suns
35;49.4;8.8;24.4;Hawks
36;46.6;24.4;12.2;Timberwolves
37;65;13.8;18.3;Wizards
38;41.1;16.7;8.8;Pelicans
39;54.4;13.8;17.2;Jazz
40;44.4;12.7;21.6;Grizzlies
