nom;alçada;pes;equipo_actual
LeBron James;206;113;Lakers
Kevin Durant;208;109;Nets
Stephen Curry;191;84;Warriors
Giannis Antetokounmpo;211;110;Bucks
Luka Dončić;201;104;Mavericks
James Harden;196;100;76ers
Anthony Davis;208;115;Lakers
Kawhi Leonard;201;102;Clippers
Damian Lillard;188;88;Blazers
Nikola Jokić;211;129;Nuggets
Jayson Tatum;203;95;Celtics
Jimmy Butler;201;104;Heat
Joel Embiid;213;127;76ers
Devin Booker;196;93;Suns
Trae Young;185;82;Hawks
Karl-Anthony Towns;211;112;Timberwolves
Bradley Beal;191;94;Wizards
Zion Williamson;201;129;Pelicans
Donovan Mitchell;185;98;Cavaliers
Ja Morant;191;79;Grizzlies
